,Atascadero,Atascadero,Atascadero,Atascadero,Atascadero,Atascadero,Atascadero,Atascadero,Atascadero,Atascadero,Atascadero,Atascadero
,WSV,WDV,AMT,RMT,O3,NO,NO2,NOX,BAM25,BAM10,BAM10STD,SIGT
Date,,,,,,,,,,,,
31-Jan-2017 13:00,1.3,287,20,23.2,38,0,2,3,4,5,5,48.1
31-Jan-2017 14:00,5.2,250,20.8,23,48,0,1,2,3,5,5,25.6
31-Jan-2017 15:00,4.3,250,20.3,23.1,48,0,2,2,6,8,8,24.6
31-Jan-2017 16:00,3,249,19.3,23.1,40,0,7,8,7,10,10,18.8
31-Jan-2017 17:00,0.5,180,15.7,23.3,22,2,17,20,3,20,20,47.3
31-Jan-2017 18:00,0.5,204,11.5,23.5,8,3,25,29,6,31,31,57.3
31-Jan-2017 19:00,1.8,195,9.4,23.7,9,2,20,22,8,28,27,21.2
31-Jan-2017 20:00,0.1,121,7.4,23.9,2,4,23,27,14,29,28,66.9
31-Jan-2017 21:00,0.2,178,6.5,24.1,2,4,21,25,11,27,26,41.9
31-Jan-2017 22:00,0.1,239,5.3,24.4,2,2,17,20,12,26,25,57.9
31-Jan-2017 23:00,0.3,184,4.2,24.6,,,,,22,28,27,66.3
