,RED HILLS,RED HILLS,RED HILLS,RED HILLS,RED HILLS,RED HILLS
,WSV,WDR,ATM,RMT,O3,SIGT
Date,,,,,,
24-Jun-2015 11:00,9.3,269,28.2,27.1,49,18.1
24-Jun-2015 12:00,7.6,275,29.6,27.4,55,33.8
24-Jun-2015 13:00,9.9,269,30.5,27.6,58,25
24-Jun-2015 14:00,13.1,266,31.2,28,59,14.5
24-Jun-2015 15:00,11.1,274,31.8,28,59,26.8
24-Jun-2015 16:00,19.4,256,30.3,28.5,58,7.3
24-Jun-2015 17:00,17,259,28.9,28.2,55,7.9
24-Jun-2015 18:00,16.5,259,26,27.5,49,3.6
24-Jun-2015 19:00,13.2,252,23,26.7,43,1.9
24-Jun-2015 20:00,10.4,252,20.9,26.5,41,2.3
24-Jun-2015 21:00,7.4,246,20.3,25.4,43,3.4
24-Jun-2015 22:00,5.4,240,19.8,25.4,43,3.4
24-Jun-2015 23:00,4,229,19.3,25.3,41,9
25-Jun-2015 00:00,2.4,235,23.4,26.3,47,16.2
25-Jun-2015 01:00,2.1,232,21.7,25.9,44,38.2
25-Jun-2015 02:00,2.4,244,22,25.5,45,14.8
25-Jun-2015 03:00,3.2,236,22.1,25.6,42,10.1
25-Jun-2015 04:00,4.4,202,22.3,25.9,,9.2
25-Jun-2015 05:00,3.2,210,22.8,26.4,47,14.2
25-Jun-2015 06:00,3.4,210,23.3,26.9,45,11.7
25-Jun-2015 07:00,3.1,253,23.3,27.4,38,19.9
25-Jun-2015 08:00,5.8,263,24.8,26.8,41,10.1
25-Jun-2015 09:00,8.7,260,26.8,27.6,49,13.5
25-Jun-2015 10:00,11.1,262,28,27.3,54,12.9
25-Jun-2015 11:00,11.7,257,29.5,27.5,60,15.8
25-Jun-2015 12:00,14,262,30.7,27.8,62,14
25-Jun-2015 13:00,17.2,264,31.4,28.2,66,13.5
25-Jun-2015 14:00,23.4,258,30.9,28.5,67,8.2
25-Jun-2015 15:00,23.4,252,30.3,28.7,67,8.2
25-Jun-2015 16:00,25,257,29.4,28.5,66,8.2
25-Jun-2015 17:00,23.9,259,28.4,28.3,66,5.4
25-Jun-2015 18:00,22.4,265,25.7,27.4,57,4.3
25-Jun-2015 19:00,18.6,266,22.8,26.6,54,3.4
25-Jun-2015 20:00,14,257,21.6,26.7,59,3.5
25-Jun-2015 21:00,13.1,249,21.1,25.8,62,2.7
25-Jun-2015 22:00,12.6,253,21,25.3,66,2.1
25-Jun-2015 23:00,8.7,262,21,25.1,74,3.3
26-Jun-2015 00:00,7.6,256,21.3,25.1,76,5
26-Jun-2015 01:00,5.6,252,21.4,25.1,78,3.6
26-Jun-2015 02:00,4.9,247,21.7,25.3,79,4.9
26-Jun-2015 03:00,3.3,247,22.7,25.7,69,4.5
26-Jun-2015 04:00,3.4,241,23.4,26.7,,3.5
26-Jun-2015 05:00,3,241,23.4,27.1,63,4.9
26-Jun-2015 06:00,1.7,264,24.3,26.4,60,30.7
26-Jun-2015 07:00,1,304,26.2,28.4,59,41.4
26-Jun-2015 08:00,4.4,269,27,27.2,57,35.4
26-Jun-2015 09:00,3.7,267,28.9,27.3,57,35.2
26-Jun-2015 10:00,8.6,268,30.6,27.5,61,16.9
26-Jun-2015 11:00,4,237,31.8,27.7,62,31.3
26-Jun-2015 12:00,7,278,33.4,27.9,65,25
26-Jun-2015 13:00,20.1,257,33.5,28.4,67,9.5
26-Jun-2015 14:00,20.6,261,33.3,28.7,65,12.9
26-Jun-2015 15:00,26.3,254,32.4,29.1,65,7.7
26-Jun-2015 16:00,27.2,259,28.6,28.7,54,6.9
26-Jun-2015 17:00,23.2,266,24.7,27.5,48,7.2
26-Jun-2015 18:00,18.4,268,21.7,26.6,44,6
26-Jun-2015 19:00,14.6,260,19.4,26.1,39,4.3
26-Jun-2015 20:00,12.8,266,18.2,25.3,38,5.2
26-Jun-2015 21:00,10.8,263,18.5,25.3,41,5.5
26-Jun-2015 22:00,8.1,272,18.3,24.9,41,6.1
26-Jun-2015 23:00,6.8,274,19,24.7,42,7.4
27-Jun-2015 00:00,5.5,269,18.8,24.9,42,5.8
27-Jun-2015 01:00,7.4,263,18.9,24.8,42,6
27-Jun-2015 02:00,6.1,278,19.2,25.1,40,6.1
27-Jun-2015 03:00,5.7,286,19.9,25,38,6
27-Jun-2015 04:00,4.2,293,20.6,25.7,,11.6
27-Jun-2015 05:00,2.1,228,21.7,25.6,30,18.5
27-Jun-2015 06:00,4.7,210,21.8,25.9,33,17.4
27-Jun-2015 07:00,6.3,259,22,26.4,32,6.2
27-Jun-2015 08:00,11.6,256,23.3,27.4,33,7.1
27-Jun-2015 09:00,8.9,268,24.7,26.7,33,12
27-Jun-2015 10:00,13.4,265,26.9,27.7,36,9.5
27-Jun-2015 11:00,15.1,262,28.4,27.4,40,10.9
27-Jun-2015 12:00,17.2,262,28.9,27.7,42,11.4
27-Jun-2015 13:00,21.2,257,28.8,27.9,42,8.2
27-Jun-2015 14:00,19,256,27,27.7,41,7.4
27-Jun-2015 15:00,18.4,257,25.5,27.1,43,5.8
27-Jun-2015 16:00,18.1,265,24.8,26.6,41,8.8
27-Jun-2015 17:00,19.1,252,23.7,27.9,39,4.8
27-Jun-2015 18:00,16.7,256,22.7,26.6,36,4.6
27-Jun-2015 19:00,9.2,252,22.1,26.9,34,13
27-Jun-2015 20:00,12.6,255,21.3,26.4,33,4.2
27-Jun-2015 21:00,9.7,250,21.1,26,32,6.8
27-Jun-2015 22:00,11.1,249,20.1,25.2,31,5.9
27-Jun-2015 23:00,9.1,245,18.4,25.6,26,4.8
28-Jun-2015 00:00,5.7,241,18.9,25.3,26,5.2
28-Jun-2015 01:00,7.9,239,19.5,25.4,28,5.1
28-Jun-2015 02:00,7.6,244,16.5,25.2,16,24.7
28-Jun-2015 03:00,3,276,18.7,25.3,26,26.5
28-Jun-2015 04:00,4.7,245,18.8,25.1,,9
28-Jun-2015 05:00,2.6,257,20.6,25.4,29,22
28-Jun-2015 06:00,2.9,254,18.9,25.3,22,18.3
28-Jun-2015 07:00,5.1,251,18.3,25.1,19,11.4
28-Jun-2015 08:00,6.2,263,21.3,25.9,25,10.2
28-Jun-2015 09:00,9,262,23.6,27.6,30,10.1
28-Jun-2015 10:00,8.3,258,26.4,27.1,37,15.8
28-Jun-2015 11:00,1.8,351,28.9,27,42,41.9
28-Jun-2015 12:00,1.9,359,30.7,27.2,46,48.1
28-Jun-2015 13:00,10.7,261,30.5,27.5,50,19.4
28-Jun-2015 14:00,11.5,266,31,27.6,48,25.6
28-Jun-2015 15:00,12.4,258,30.8,28.1,,15.1
28-Jun-2015 16:00,13,261,30.8,28.1,42,10.5
28-Jun-2015 17:00,16.3,256,29.3,28.1,37,7.6
28-Jun-2015 18:00,15.3,258,26.8,27.7,34,5.6
28-Jun-2015 19:00,13.4,250,23.8,26.9,33,3.9
28-Jun-2015 20:00,11.4,245,21.2,26.7,32,2.5
28-Jun-2015 21:00,8.7,247,19.9,25.6,31,2.8
28-Jun-2015 22:00,5.8,243,18.8,25.4,29,4.1
28-Jun-2015 23:00,5.5,231,18.5,25.3,27,4.8
29-Jun-2015 00:00,6.1,232,19.5,25.3,28,3.8
29-Jun-2015 01:00,3.9,229,20.1,25.1,29,9.4
29-Jun-2015 02:00,1.3,208,21,25.6,28,39.6
29-Jun-2015 03:00,1.1,111,22.1,25.1,29,65.9
29-Jun-2015 04:00,2,150,21.4,25.8,,45.6
29-Jun-2015 05:00,6.7,104,19.8,25.2,31,9.4
29-Jun-2015 06:00,10.2,103,21.7,26.1,38,3.8
29-Jun-2015 07:00,10.7,87,23.7,27.5,40,8.6
29-Jun-2015 08:00,15.9,76,25,26.6,41,7.4
29-Jun-2015 09:00,12.4,68,26.5,28.2,43,12.1
29-Jun-2015 10:00,12.5,71,27.9,27,47,11.7
29-Jun-2015 11:00,15.8,69,28.9,27,50,9.9
29-Jun-2015 12:00,15.6,68,29.7,27.1,52,11.2
29-Jun-2015 13:00,14.7,67,30.6,27.1,55,12.9
29-Jun-2015 14:00,16,69,31.4,27.2,56,9.6
29-Jun-2015 15:00,17.1,69,31.9,27.2,57,10.9
29-Jun-2015 16:00,16.3,65,32.3,27.3,56,8.4
29-Jun-2015 17:00,17.7,72,31.5,27.4,57,8
29-Jun-2015 18:00,16.3,68,30.5,27.3,60,5.3
29-Jun-2015 19:00,9.3,76,29.1,27.2,58,5.7
29-Jun-2015 20:00,5.5,114,28.5,27.2,58,17.7
29-Jun-2015 21:00,6.5,101,27.7,27.1,57,13.3
29-Jun-2015 22:00,8,95,27,26.9,59,5.2
29-Jun-2015 23:00,8.7,94,26.6,26.8,58,4.8
30-Jun-2015 00:00,9.6,84,26.2,26.4,58,5.3
30-Jun-2015 01:00,9.2,85,26,26.6,56,5.6
30-Jun-2015 02:00,10.6,93,25.5,28.6,57,5.9
30-Jun-2015 03:00,11.6,88,24.6,26.7,57,3.7
30-Jun-2015 04:00,11,81,25,28.4,,4.4
30-Jun-2015 05:00,10,91,24.9,26.8,59,4
30-Jun-2015 06:00,10,94,25.4,28.5,58,6.3
30-Jun-2015 07:00,9.7,96,26.7,27.4,61,7.5
30-Jun-2015 08:00,12.7,83,28.6,27.1,61,9.6
30-Jun-2015 09:00,11.7,84,30.1,27.4,66,12.4
30-Jun-2015 10:00,9.5,81,31.7,27.5,69,18.8
30-Jun-2015 11:00,8.1,76,32.6,27.6,73,20.4
30-Jun-2015 12:00,4.9,63,33.8,27.7,72,39.8
30-Jun-2015 13:00,5.7,47,35.1,27.6,69,43
30-Jun-2015 14:00,11.6,261,35.9,28.2,71,41.8
30-Jun-2015 15:00,22.5,254,34.5,28.9,62,8.4
30-Jun-2015 16:00,21.9,255,33.7,29.1,52,7.3
30-Jun-2015 17:00,24.2,258,32.2,29,48,5.1
30-Jun-2015 18:00,20.3,257,30.3,28.6,43,4.4
30-Jun-2015 19:00,18.2,250,27.4,27.8,42,3.8
30-Jun-2015 20:00,12.8,256,24.5,26.9,41,5.1
30-Jun-2015 21:00,10.6,248,23.2,27.6,41,4.4
30-Jun-2015 22:00,7.9,249,24.3,26.6,46,4.5
30-Jun-2015 23:00,6.6,256,24.6,27.9,47,3.6
